"M 61","Spiral Galaxy",\N,12.365,4.4714,"9.7","6",\N,\N,"Need"
"M 62","Globular Cluster",\N,17.02,-30.1125,"6.5","15",\N,\N,"Need"
"M 63","Sunflower Galaxy",\N,13.2636,42.0292,"8.6","12",\N,\N,"Need"
"M 64","Black Eye Galaxy",\N,12.9461,21.6828,"8.5","10",\N,\N,"Need"
"M 65","Leo Triplet",\N,11.315,13.0922,"9.3","9",\N,\N,"Need"
"M 66","Leo Triplet",\N,11.3375,12.9914,"8.9","9",\N,\N,"Need"
"M 67","Open Cluster",\N,8.855,11.8167,"6.1","30",\N,\N,"Need"
"M 68","Globular Cluster",\N,12.6583,-26.7433,"7.8","11",\N,\N,"Need"
"M 69","Globular Cluster",\N,18.5233,-32.3481,"7.6","9.8",\N,\N,"Need"
"M 70","Globular Cluster",\N,18.7217,-32.2922,"7.9","8",\N,\N,"Need"
"M 71","Globular Cluster",\N,19.9,18.78,"6.1","7.2",\N,\N,"Need"
"M 72","Globular Cluster",\N,20.8917,-12.5372,"9.3","6.6",\N,\N,"Need"
"M 73","Asterism",\N,20.9833,-12.6333,"9","2.8",\N,\N,"Need"
"M 74","Phantom Galaxy",\N,1.6117,15.7831,"9.4","10",\N,\N,"Need"
"M 75","Globular Cluster",\N,20.1017,-21.9222,"8.5","6.8",\N,\N,"Need"
"M 76","Little Dumbbell",\N,1.7067,51.575,"10.1","2.7",\N,\N,"Need"
"M 77","Cetus A",\N,2.7111,-0.0133,"8.9","7",\N,\N,"Need"
"M 78","Reflection Nebula",\N,5.7783,0.0783,"8.3","8",\N,\N,"Need"
"M 79","Globular Cluster",\N,5.4083,-24.5244,"7.7","8.7",\N,\N,"Need"
"M 80","Globular Cluster",\N,16.285,-22.9761,"7.3","10",\N,\N,"Need"
"M 81","Bode's Galaxy",\N,9.9264,69.0653,"6.9","26",\N,\N,"Need"
"M 82","Cigar Galaxy",\N,9.9312,69.6797,"8.4","11",\N,\N,"Need"
"M 83","Southern Pinwheel",\N,13.6167,-29.8658,"7.5","12",\N,\N,"Need"
"M 84","Lenticular Galaxy",\N,12.4183,12.8864,"9.1","6.5",\N,\N,"Need"
"M 85","Lenticular Galaxy",\N,12.4233,18.19,"9.1","7.1",\N,\N,"Need"
"M 86","Lenticular Galaxy",\N,12.4367,12.9464,"8.9","8.9",\N,\N,"Need"
"M 87","Virgo A",\N,12.5139,12.3911,"8.6","7.2",\N,\N,"Need"
"M 88","Spiral Galaxy",\N,12.5333,14.42,"9.6","7",\N,\N,"Need"
"M 89","Elliptical Galaxy",\N,12.5933,12.555,"9.8","5",\N,\N,"Need"
"M 90","Spiral Galaxy",\N,12.6133,13.1611,"9.5","9.5",\N,\N,"Need"
